name,sido,cl_name,url,reason,staff_urls,ignore_robots
분홍빛으로병원,대구,병원,http://www.mastopia.com,홈페이지 접속 실패: HTTP 403,,
성서병원,대구,병원,http://www.sshospital.co.kr,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
세민병원,대구,병원,http://www.seminhosp.co.kr/,의료진 페이지에서 의사를 찾지 못함,,
수성한미병원,대구,병원,http://hanmih.com,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
여성메디파크병원,대구,병원,http://www.md-park.co.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
열린큰병원,대구,병원,http://www.bigos.co.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인명문의료재단 대구기독병원,대구,병원,http://www.kidokh.com,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인상보의료재단 대구경상병원,대구,병원,http://www.dggshosp.co.kr,홈페이지 접속 실패: ConnectTimeout: ,,
척탑병원,대구,병원,http://www.topspine.co.kr/,홈페이지 접속 실패: ConnectTimeout: ,,
계명대학교동산병원,대구,상급종합,https://dongsan.dsmc.or.kr:49870/,의료진 페이지에서 의사를 찾지 못함,,
영남대학교병원,대구,상급종합,https://www.yumc.ac.kr,의료진 페이지에서 의사를 찾지 못함,,
달성요양병원,대구,요양병원,http://www.ds9988.co.kr,의료진 페이지에서 의사를 찾지 못함,,
대구광역시시지노인전문병원,대구,요양병원,http://www.yes-naebumo.or.kr,홈페이지 접속 실패: robots.txt disallow,,
아리채요양병원,대구,요양병원,http://www.arichae.co.kr,의료진 페이지에서 의사를 찾지 못함,,
의료법인 효민의료재단 대구큰사랑요양병원,대구,요양병원,http://www.bighospital.co.kr,홈페이지 접속 실패: HTTP 403,,
의료법인가창삼성의료재단 가창삼성요양병원,대구,요양병원,http://www.gcsh.co.kr/,홈페이지 접속 실패: HTTP 403,,
의료법인정목의료재단한패밀리요양병원,대구,요양병원,http://www.hanfamily.or.kr,의료진 페이지에서 의사를 찾지 못함,,
중앙요양병원,대구,요양병원,http://www.jahospital.co.kr,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
햇살요양병원,대구,요양병원,http://cafe.daum.net/hanguk100s,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
곽병원,대구,종합병원,http://www.kwakh.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
대구의료원,대구,종합병원,http://www.daegumc.co.kr,홈페이지 접속 실패: ConnectTimeout: ,,
의료법인구의료재단 구병원,대구,종합병원,http://www.gooh.co.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
한국보훈복지의료공단 대구보훈병원,대구,종합병원,http://daegu.bohun.or.kr,의료진 페이지 수집 실패 (모든 페이지 오류),,
메드윌병원,부산,병원,http://www.medwill.co.kr,의료진 페이지에서 의사를 찾지 못함,,
미래로병원,부산,병원,http://www.mrro.co.kr,홈페이지 접속 실패: ConnectError: [Errno -3] Temporary failure in name resolution,,
미래병원,부산,병원,http://www.miraehos.co.kr,홈페이지 접속 실패: HTTP 403,,
부산미남병원,부산,병원,https://minamhospital.com/,홈페이지 접속 실패: HTTP 403,,
부산성모안과병원,부산,병원,http://www.sungmo.co.kr,의료진 페이지에서 의사를 찾지 못함,,
상쾌한병원,부산,병원,http://anorectum.com/main/main.php,홈페이지 접속 실패: ConnectError: [Errno -3] Temporary failure in name resolution,,
새우리병원,부산,병원,http://www.newoori.com,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
새항운병원,부산,병원,http://www.saehangun.com/,의료진 페이지에서 의사를 찾지 못함,,
순병원,부산,병원,http://www.soon-soon.com,홈페이지 접속 실패: ConnectError: [Errno -3] Temporary failure in name resolution,,
웰하이여성아동병원,부산,병원,http://www.okmiso.co.kr,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의)청십자의료재단 행복한병원,부산,병원,http://happymc.co.kr/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인 갑을의료재단 갑을녹산병원,부산,병원,http://www.bigmind.co.kr/bigmind.php,홈페이지 접속 실패: robots.txt disallow,,
의료법인 라움의료재단 세웅병원,부산,병원,http://www.sewoongh.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인 은빛의료재단 세하병원,부산,병원,http://se-ha.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인 인당의료재단 구포부민병원,부산,병원,http://www.bumin.co.kr/gupo,홈페이지 접속 실패: HTTP 404,,
의료법인고려의료재단부산고려병원,부산,병원,http://www.koreah.co.kr,홈페이지 접속 실패: robots.txt disallow,,
의료법인센텀의료재단 서부산센텀병원,부산,병원,http://www.centumhospital.com,홈페이지 접속 실패: robots.txt disallow,,
장림한서병원,부산,병원,http://www.janglimhanseo.com,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
정근안과병원,부산,병원,http://www.jlasik.co.kr,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
한마음병원,부산,병원,https://www.han1004.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
해운대나눔과행복병원,부산,병원,https://snh.or.kr/main/main.php,홈페이지 접속 실패: HTTP 403,,
광안정다운요양병원,부산,요양병원,http://www.xn--sy2btbu0l81m8hbmk.kr,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
금정형주요양병원,부산,요양병원,http://www.hjyoyang.co.kr/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
남산정요양병원,부산,요양병원,http://www.nsj.or.kr,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
다사랑요양병원,부산,요양병원,http://cafe.daum.net/dsr.,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
보람요양병원,부산,요양병원,http://www.boram-hospital.co.kr/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
부산노인전문제3병원,부산,요양병원,http://www.busangh.com/,의료진 페이지 수집 실패 (모든 페이지 오류),,
부산시노인전문제1병원,부산,요양병원,http://www.busangh.co.kr,홈페이지 접속 실패: ConnectTimeout: ,,
사랑요양병원,부산,요양병원,http://www.sarangmedicare.co.kr,의료진 페이지에서 의사를 찾지 못함,,
서울우리요양병원,부산,요양병원,http://wooriyoyang.kr,의료진 페이지에서 의사를 찾지 못함,,
센텀해인요양병원,부산,요양병원,http://centumhaein.com/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
심당요양병원,부산,요양병원,http://www.simdang.co.kr/,홈페이지 접속 실패: ConnectError: [Errno -3] Temporary failure in name resolution,,
윌리스요양병원,부산,요양병원,http://www.willishospital.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의)은성의료재단 좋은애인요양병원,부산,요양병원,http://www.aein.or.kr,홈페이지 접속 실패: HTTP 403,,
의료법인 다정의료재단 금산요양병원,부산,요양병원,http://cityhospital.kr,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인 동일의료재단 금정나라요양병원,부산,요양병원,http://naranetwork.net,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인 성원의료재단 감천참편한요양병원,부산,요양병원,http://www.champyonhan.com/,의료진 페이지에서 의사를 찾지 못함,,
의료법인 은빛의료재단 참사랑요양병원,부산,요양병원,http://www.cham-love.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인강혜의료재단남천사랑의요양병원,부산,요양병원,http://insarang.or.kr/gnuboard4/,홈페이지 접속 실패: HTTP 404,,
의료법인나라의료재단 부산나라요양병원,부산,요양병원,http://jeil.naramef.com,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인백세의료재단백세요양병원,부산,요양병원,http://www.100sal.co.kr/main/main.htm,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인선우의료재단  BHS동래한서요양병원,부산,요양병원,http://www.dongnaehanseo.or.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인은경의료재단 인창요양병원,부산,요양병원,http://www.silverslife.com,홈페이지 접속 실패: HTTP 403,,
의료법인은성의료재단 좋은사랑요양병원,부산,요양병원,http://www.goodsarang.kr,홈페이지 접속 실패: HTTP 403,,
의료법인전일의료재단한가족요양병원,부산,요양병원,http://www.onefm.co.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인좋은사람들의료재단 관자재요양병원,부산,요양병원,http://ns.kjj9988.co.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인지석의료재단 효성프라임요양병원,부산,요양병원,http://www.smartbusan.co.kr/~hyosung/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
의료법인호산나의료재단현대요양병원,부산,요양병원,http://www.bshd.co.kr/,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
인제요양병원,부산,요양병원,http://www.injehosp.co.kr,의료진 페이지에서 의사를 찾지 못함,,
푸른숲요양병원,부산,요양병원,http://purunhospi.com,의료진 페이지에서 의사를 찾지 못함,,
현대요양병원,부산,요양병원,http://www.hdcare.co.kr/,의료진 페이지에서 의사를 찾지 못함,,
효메디요양병원,부산,요양병원,http://www.hyomedi.co.kr/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
의료법인인본의료재단해운대자명병원,부산,정신병원,http://www.jmmh.co.kr/,홈페이지 접속 실패: ConnectError: [Errno -2] Name or service not known,,
대동병원,부산,종합병원,https://www.ddh.co.kr,홈페이지 접속 실패: HTTP 403,,
동남권원자력의학원원자력병원,부산,종합병원,https://www.dirams.re.kr/,의료진 페이지에서 의사를 찾지 못함,,
동래봉생병원,부산,종합병원,http://www.drbs.or.kr,의료진 페이지를 찾지 못함 (staff_urls 수동 지정 필요),,
